unit,t,Total Solar+ESS Output Power,PV Smoothing_Pset,ESS Output Power_SPPC,SOC,EMS_Final_Pset,Total Solar Power,PCC_F,PFC_Pset
SNTD_EMS,2026-06-21T12:00:00.018+08:00,-258.570,0.000,-105.640,94.300,0.000,41856.242,49.961,0.000
SNTD_EMS,2026-06-21T12:00:01.018+08:00,-258.570,0.000,-105.640,94.300,0.000,41961.023,49.963,0.000
SNTD_EMS,2026-06-21T12:00:02.018+08:00,-258.570,0.000,-105.630,94.300,0.000,41961.023,49.967,0.000
SNTD_EMS,2026-06-21T12:00:03.018+08:00,-258.570,0.000,-105.370,94.300,0.000,41948.586,49.968,0.000
SNTD_EMS,2026-06-21T12:00:04.018+08:00,-258.570,0.000,-105.560,94.300,0.000,41948.586,49.970,0.000
SNTD_EMS,2026-06-21T12:00:05.018+08:00,-258.570,0.000,-105.400,94.300,0.000,42022.707,49.970,0.000
SNTD_EMS,2026-06-21T12:00:06.018+08:00,-258.570,0.000,-105.400,94.300,0.000,42022.707,49.973,0.000
SNTD_EMS,2026-06-21T12:00:07.018+08:00,-258.570,0.000,-105.400,94.300,0.000,42050.867,49.974,0.000
SNTD_EMS,2026-06-21T12:00:08.018+08:00,-258.570,0.000,-105.400,94.300,0.000,42050.867,49.977,0.000
SNTD_EMS,2026-06-21T12:00:09.018+08:00,-258.570,0.000,-105.530,94.300,0.000,42053.012,49.973,0.000
SNTD_EMS,2026-06-21T12:00:10.018+08:00,-258.570,0.000,-105.360,94.300,0.000,42053.012,49.977,0.000
SNTD_EMS,2026-06-21T12:00:11.018+08:00,-258.570,0.000,-105.360,94.300,0.000,42188.918,49.980,0.000
SNTD_EMS,2026-06-21T12:00:12.018+08:00,-258.570,0.000,-105.360,94.300,0.000,42188.918,49.977,0.000
SNTD_EMS,2026-06-21T12:00:13.018+08:00,-258.570,0.000,-105.470,94.300,0.000,42244.484,49.982,0.000
SNTD_EMS,2026-06-21T12:00:14.018+08:00,-258.570,0.000,-105.470,94.300,0.000,42244.484,49.980,0.000
SNTD_EMS,2026-06-21T12:00:15.018+08:00,-258.570,0.000,-105.370,94.300,0.000,42316.852,49.981,0.000
SNTD_EMS,2026-06-21T12:00:16.018+08:00,-258.570,0.000,-105.370,94.300,0.000,42316.852,49.975,0.000
SNTD_EMS,2026-06-21T12:00:17.018+08:00,-258.570,0.000,-105.370,94.300,0.000,42398.078,49.976,0.000
SNTD_EMS,2026-06-21T12:00:18.018+08:00,-258.570,0.000,-105.270,94.300,0.000,42398.078,49.976,0.000
SNTD_EMS,2026-06-21T12:00:19.018+08:00,-258.570,0.000,-105.270,94.300,0.000,42403.406,49.975,0.000
SNTD_EMS,2026-06-21T12:00:20.018+08:00,-258.570,0.000,-105.270,94.300,0.000,42403.406,49.975,0.000
SNTD_EMS,2026-06-21T12:00:21.018+08:00,-258.570,0.000,-105.270,94.300,0.000,42449.359,49.975,0.000
SNTD_EMS,2026-06-21T12:00:22.018+08:00,-258.570,0.000,-105.270,94.300,0.000,42449.359,49.977,0.000
SNTD_EMS,2026-06-21T12:00:23.018+08:00,-258.570,0.000,-105.270,94.300,0.000,42488.672,49.980,0.000
SNTD_EMS,2026-06-21T12:00:24.018+08:00,-258.570,0.000,-105.390,94.300,0.000,42488.672,49.981,0.000
SNTD_EMS,2026-06-21T12:00:25.018+08:00,-258.570,0.000,-105.390,94.300,0.000,42526.484,49.983,0.000
SNTD_EMS,2026-06-21T12:00:26.018+08:00,-258.570,0.000,-105.390,94.300,0.000,42526.484,49.981,0.000
SNTD_EMS,2026-06-21T12:00:27.018+08:00,-258.570,0.000,-105.390,94.300,0.000,42557.359,49.983,0.000
SNTD_EMS,2026-06-21T12:00:28.018+08:00,-258.570,0.000,-105.390,94.300,0.000,42557.359,49.985,0.000
SNTD_EMS,2026-06-21T12:00:29.018+08:00,-258.570,0.000,-105.290,94.300,0.000,42603.211,49.983,0.000
SNTD_EMS,2026-06-21T12:00:30.018+08:00,-258.570,0.000,-105.290,94.300,0.000,42603.211,49.984,0.000
SNTD_EMS,2026-06-21T12:00:31.018+08:00,-258.570,0.000,-105.290,94.300,0.000,42637.625,49.985,0.000
SNTD_EMS,2026-06-21T12:00:32.018+08:00,-258.570,0.000,-105.290,94.300,0.000,42637.625,49.987,0.000
SNTD_EMS,2026-06-21T12:00:33.018+08:00,-258.570,0.000,-105.290,94.300,0.000,42706.055,49.989,0.000
SNTD_EMS,2026-06-21T12:00:34.018+08:00,-258.570,0.000,-105.290,94.300,0.000,42706.055,49.989,0.000
SNTD_EMS,2026-06-21T12:00:35.018+08:00,-258.570,0.000,-46.030,94.300,0.000,42782.426,49.990,0.000
SNTD_EMS,2026-06-21T12:00:36.018+08:00,-258.570,0.000,-36.860,94.300,0.000,42782.426,49.988,0.000
SNTD_EMS,2026-06-21T12:00:37.018+08:00,-258.570,0.000,-36.860,94.300,0.000,42859.688,49.988,0.000
SNTD_EMS,2026-06-21T12:00:38.018+08:00,-258.570,0.000,-33.050,94.300,0.000,42859.688,49.989,0.000
SNTD_EMS,2026-06-21T12:00:39.018+08:00,-258.570,0.000,-31.640,94.300,0.000,42932.375,49.988,0.000
SNTD_EMS,2026-06-21T12:00:40.018+08:00,-258.570,0.000,-31.740,94.300,0.000,42932.375,49.990,0.000
SNTD_EMS,2026-06-21T12:00:41.018+08:00,-258.570,0.000,-31.740,94.300,0.000,42945.992,49.989,0.000
SNTD_EMS,2026-06-21T12:00:42.018+08:00,-258.570,0.000,-31.740,94.300,0.000,42945.992,49.992,0.000
SNTD_EMS,2026-06-21T12:00:43.018+08:00,-258.570,0.000,-31.740,94.300,0.000,43003.168,49.997,0.000
SNTD_EMS,2026-06-21T12:00:44.018+08:00,-258.570,0.000,-31.740,94.300,0.000,43003.168,49.996,0.000
SNTD_EMS,2026-06-21T12:00:45.018+08:00,-258.570,0.000,-31.740,94.300,0.000,43052.770,50.001,0.000
SNTD_EMS,2026-06-21T12:00:46.018+08:00,-258.570,0.000,-31.740,94.300,0.000,43052.770,49.989,0.000
SNTD_EMS,2026-06-21T12:00:47.018+08:00,-258.570,0.000,-32.020,94.300,0.000,42999.773,49.996,0.000
SNTD_EMS,2026-06-21T12:00:48.018+08:00,-258.570,0.000,-31.910,94.300,0.000,42999.773,49.993,0.000
SNTD_EMS,2026-06-21T12:00:49.018+08:00,-258.570,0.000,-31.360,94.300,0.000,43111.023,49.999,0.000
SNTD_EMS,2026-06-21T12:00:50.018+08:00,-258.570,0.000,-31.360,94.300,0.000,43111.023,50.001,0.000
