unit,t,Total Solar+ESS Output Power,PV Smoothing_Pset,ESS Output Power_SPPC,SOC,EMS_Final_Pset,Total Solar Power,PCC_F,PFC_Pset
SNTD_EMS,2026-06-21T16:00:00.018+08:00,-258.570,0.000,-31.800,94.100,0.000,27203.508,50.105,0.000
SNTD_EMS,2026-06-21T16:00:01.018+08:00,-258.570,0.000,-31.930,94.100,0.000,27205.725,50.104,0.000
SNTD_EMS,2026-06-21T16:00:02.018+08:00,-258.570,0.000,-31.930,94.100,0.000,27205.725,50.104,0.000
SNTD_EMS,2026-06-21T16:00:03.018+08:00,-258.570,0.000,-31.930,94.100,0.000,27204.615,50.105,0.000
SNTD_EMS,2026-06-21T16:00:04.018+08:00,-258.570,0.000,-31.930,94.100,0.000,27204.615,50.109,0.000
SNTD_EMS,2026-06-21T16:00:05.018+08:00,-258.570,0.000,-31.930,94.100,0.000,27208.797,50.114,0.000
SNTD_EMS,2026-06-21T16:00:06.018+08:00,-258.570,0.000,-31.780,94.100,0.000,27208.797,50.117,0.000
SNTD_EMS,2026-06-21T16:00:07.018+08:00,-258.570,0.000,-32.060,94.100,0.000,27208.297,50.120,0.000
SNTD_EMS,2026-06-21T16:00:08.018+08:00,-258.570,0.000,-32.480,94.100,0.000,27208.297,50.122,0.000
SNTD_EMS,2026-06-21T16:00:09.018+08:00,-258.570,0.000,-32.480,94.100,0.000,27209.939,50.128,0.000
SNTD_EMS,2026-06-21T16:00:10.018+08:00,-258.570,0.000,-32.480,94.100,0.000,27209.939,50.130,0.000
SNTD_EMS,2026-06-21T16:00:11.018+08:00,-258.570,0.000,-32.480,94.100,0.000,27210.764,50.136,0.000
SNTD_EMS,2026-06-21T16:00:12.018+08:00,-258.570,0.000,-32.480,94.100,0.000,27210.764,50.136,0.000
SNTD_EMS,2026-06-21T16:00:13.018+08:00,-258.570,0.000,-32.330,94.100,0.000,27213.514,50.139,0.000
SNTD_EMS,2026-06-21T16:00:14.018+08:00,-258.570,0.000,-32.180,94.100,0.000,27213.514,50.141,0.000
SNTD_EMS,2026-06-21T16:00:15.018+08:00,-258.570,0.000,-32.180,94.100,0.000,27217.230,50.144,0.000
SNTD_EMS,2026-06-21T16:00:16.018+08:00,-258.570,0.000,-32.030,94.100,0.000,27217.230,50.151,0.000
SNTD_EMS,2026-06-21T16:00:17.018+08:00,-258.570,0.000,-32.130,94.100,0.000,27216.303,50.152,0.000
SNTD_EMS,2026-06-21T16:00:18.018+08:00,-258.570,0.000,-31.930,94.100,0.000,27216.303,50.154,0.000
SNTD_EMS,2026-06-21T16:00:19.018+08:00,-258.570,0.000,-32.050,94.100,0.000,27218.303,50.160,0.000
SNTD_EMS,2026-06-21T16:00:20.018+08:00,-258.570,0.000,-31.930,94.100,0.000,27218.303,50.161,0.000
SNTD_EMS,2026-06-21T16:00:21.018+08:00,-258.570,0.000,-31.930,94.100,0.000,27224.557,50.162,0.000
SNTD_EMS,2026-06-21T16:00:22.018+08:00,-258.570,0.000,-31.630,94.100,0.000,27224.557,50.163,0.000
SNTD_EMS,2026-06-21T16:00:23.018+08:00,-258.570,0.000,-31.630,94.100,0.000,27234.279,50.165,0.000
SNTD_EMS,2026-06-21T16:00:24.018+08:00,-258.570,0.000,-31.890,94.100,0.000,27234.279,50.166,0.000
SNTD_EMS,2026-06-21T16:00:25.018+08:00,-258.570,0.000,-32.020,94.100,0.000,27241.354,50.162,0.000
SNTD_EMS,2026-06-21T16:00:26.018+08:00,-258.570,0.000,-31.760,94.100,0.000,27241.354,50.165,0.000
SNTD_EMS,2026-06-21T16:00:27.018+08:00,-258.570,0.000,-31.880,94.100,0.000,27251.037,50.164,0.000
SNTD_EMS,2026-06-21T16:00:28.018+08:00,-258.570,0.000,-31.840,94.100,0.000,27251.037,50.166,0.000
SNTD_EMS,2026-06-21T16:00:29.018+08:00,-258.570,0.000,-31.840,94.100,0.000,27260.045,50.167,0.000
SNTD_EMS,2026-06-21T16:00:30.018+08:00,-258.570,0.000,-31.840,94.100,0.000,27260.045,50.169,0.000
SNTD_EMS,2026-06-21T16:00:31.018+08:00,-258.570,0.000,-31.840,94.100,0.000,27270.299,50.170,0.000
SNTD_EMS,2026-06-21T16:00:32.018+08:00,-258.570,0.000,-31.840,94.100,0.000,27270.299,50.169,0.000
SNTD_EMS,2026-06-21T16:00:33.018+08:00,-258.570,0.000,-31.840,94.100,0.000,27279.807,50.169,0.000
SNTD_EMS,2026-06-21T16:00:34.018+08:00,-258.570,0.000,-31.840,94.100,0.000,27279.807,50.164,0.000
SNTD_EMS,2026-06-21T16:00:35.018+08:00,-258.570,0.000,-31.940,94.100,0.000,27290.064,50.165,0.000
SNTD_EMS,2026-06-21T16:00:36.018+08:00,-258.570,0.000,-31.800,94.100,0.000,27290.064,50.163,0.000
SNTD_EMS,2026-06-21T16:00:37.018+08:00,-258.570,0.000,-31.640,94.100,0.000,27302.678,50.161,0.000
SNTD_EMS,2026-06-21T16:00:38.018+08:00,-258.570,0.000,-31.640,94.100,0.000,27302.678,50.159,0.000
SNTD_EMS,2026-06-21T16:00:39.018+08:00,-258.570,0.000,-31.640,94.100,0.000,27317.221,50.158,0.000
SNTD_EMS,2026-06-21T16:00:40.018+08:00,-258.570,0.000,-31.640,94.100,0.000,27317.221,50.155,0.000
SNTD_EMS,2026-06-21T16:00:41.018+08:00,-258.570,0.000,-31.640,94.100,0.000,27327.764,50.157,0.000
SNTD_EMS,2026-06-21T16:00:42.018+08:00,-258.570,0.000,-31.810,94.100,0.000,27327.764,50.157,0.000
SNTD_EMS,2026-06-21T16:00:43.018+08:00,-258.570,0.000,-32.010,94.100,0.000,27340.414,50.157,0.000
SNTD_EMS,2026-06-21T16:00:44.018+08:00,-258.570,0.000,-31.820,94.100,0.000,27340.414,50.156,0.000
SNTD_EMS,2026-06-21T16:00:45.018+08:00,-258.570,0.000,-31.820,94.100,0.000,27351.135,50.157,0.000
SNTD_EMS,2026-06-21T16:00:46.018+08:00,-258.570,0.000,-31.940,94.100,0.000,27351.135,50.152,0.000
SNTD_EMS,2026-06-21T16:00:47.018+08:00,-258.570,0.000,-31.780,94.100,0.000,27366.467,50.155,0.000
SNTD_EMS,2026-06-21T16:00:48.018+08:00,-258.570,0.000,-31.630,94.100,0.000,27366.467,50.146,0.000
SNTD_EMS,2026-06-21T16:00:49.018+08:00,-258.570,0.000,-31.520,94.100,0.000,27382.654,50.151,0.000
SNTD_EMS,2026-06-21T16:00:50.018+08:00,-258.570,0.000,-31.520,94.100,0.000,27382.654,50.143,0.000
SNTD_EMS,2026-06-21T16:00:51.018+08:00,-258.570,0.000,-31.640,94.100,0.000,27398.092,50.140,0.000
SNTD_EMS,2026-06-21T16:00:52.018+08:00,-258.570,0.000,-31.360,94.100,0.000,27398.092,50.141,0.000
SNTD_EMS,2026-06-21T16:00:53.018+08:00,-258.570,0.000,-31.360,94.100,0.000,27411.279,50.141,0.000
SNTD_EMS,2026-06-21T16:00:54.018+08:00,-258.570,0.000,-31.700,94.100,0.000,27411.279,50.135,0.000
SNTD_EMS,2026-06-21T16:00:55.018+08:00,-258.570,0.000,-31.600,94.100,0.000,27426.432,50.136,0.000
SNTD_EMS,2026-06-21T16:00:56.018+08:00,-258.570,0.000,-31.760,94.100,0.000,27426.432,50.135,0.000
SNTD_EMS,2026-06-21T16:00:57.018+08:00,-258.570,0.000,-31.760,94.100,0.000,27439.299,50.137,0.000
SNTD_EMS,2026-06-21T16:00:58.018+08:00,-258.570,0.000,-31.890,94.100,0.000,27439.299,50.136,0.000
SNTD_EMS,2026-06-21T16:00:59.018+08:00,-258.570,0.000,-32.000,94.100,0.000,27453.232,50.139,0.000
SNTD_EMS,2026-06-21T16:01:00.018+08:00,-258.570,0.000,-32.000,94.100,0.000,27453.232,50.141,0.000
SNTD_EMS,2026-06-21T16:01:01.018+08:00,-258.570,0.000,-31.900,94.100,0.000,27469.994,50.143,0.000
SNTD_EMS,2026-06-21T16:01:02.018+08:00,-258.570,0.000,-31.900,94.100,0.000,27469.994,50.141,0.000
SNTD_EMS,2026-06-21T16:01:03.018+08:00,-258.570,0.000,-31.800,94.100,0.000,27484.611,50.142,0.000
SNTD_EMS,2026-06-21T16:01:04.018+08:00,-258.570,0.000,-31.950,94.100,0.000,27484.611,50.143,0.000
SNTD_EMS,2026-06-21T16:01:05.018+08:00,-258.570,0.000,-31.950,94.100,0.000,27496.869,50.144,0.000
SNTD_EMS,2026-06-21T16:01:06.018+08:00,-258.570,0.000,-32.350,94.100,0.000,27496.869,50.142,0.000
SNTD_EMS,2026-06-21T16:01:07.018+08:00,-258.570,0.000,-32.050,94.100,0.000,27510.307,50.145,0.000
SNTD_EMS,2026-06-21T16:01:08.018+08:00,-258.570,0.000,-31.620,94.100,0.000,27510.307,50.141,0.000
SNTD_EMS,2026-06-21T16:01:09.018+08:00,-258.570,0.000,-32.190,94.100,0.000,27523.314,50.144,0.000
SNTD_EMS,2026-06-21T16:01:10.018+08:00,-258.570,0.000,-32.290,94.100,0.000,27523.314,50.147,0.000
SNTD_EMS,2026-06-21T16:01:11.018+08:00,-258.570,0.000,-32.290,94.100,0.000,27538.680,50.148,0.000
SNTD_EMS,2026-06-21T16:01:12.018+08:00,-258.570,0.000,-31.950,94.100,0.000,27538.680,50.149,0.000
SNTD_EMS,2026-06-21T16:01:13.018+08:00,-258.570,0.000,-32.120,94.100,0.000,27558.084,50.147,0.000
SNTD_EMS,2026-06-21T16:01:14.018+08:00,-258.570,0.000,-32.010,94.100,0.000,27558.084,50.148,0.000
SNTD_EMS,2026-06-21T16:01:15.018+08:00,-258.570,0.000,-31.620,94.100,0.000,27570.664,50.148,0.000
SNTD_EMS,2026-06-21T16:01:16.018+08:00,-258.570,0.000,-31.490,94.100,0.000,27570.664,50.148,0.000
SNTD_EMS,2026-06-21T16:01:17.018+08:00,-258.570,0.000,-31.530,94.100,0.000,27583.100,50.145,0.000
SNTD_EMS,2026-06-21T16:01:18.018+08:00,-258.570,0.000,-31.530,94.100,0.000,27583.100,50.145,0.000
SNTD_EMS,2026-06-21T16:01:19.018+08:00,-258.570,0.000,-31.530,94.100,0.000,27594.893,50.142,0.000
SNTD_EMS,2026-06-21T16:01:20.018+08:00,-258.570,0.000,-31.730,94.100,0.000,27594.893,50.143,0.000
SNTD_EMS,2026-06-21T16:01:21.018+08:00,-258.570,0.000,-31.730,94.100,0.000,27607.902,50.144,0.000
SNTD_EMS,2026-06-21T16:01:22.018+08:00,-258.570,0.000,-31.550,94.100,0.000,27607.902,50.144,0.000
SNTD_EMS,2026-06-21T16:01:23.018+08:00,-258.570,0.000,-31.750,94.100,0.000,27621.518,50.145,0.000
SNTD_EMS,2026-06-21T16:01:24.018+08:00,-258.570,0.000,-31.750,94.100,0.000,27621.518,50.146,0.000
SNTD_EMS,2026-06-21T16:01:25.018+08:00,-258.570,0.000,-31.850,94.100,0.000,27634.203,50.147,0.000
SNTD_EMS,2026-06-21T16:01:26.018+08:00,-258.570,0.000,-31.850,94.100,0.000,27634.203,50.145,0.000
SNTD_EMS,2026-06-21T16:01:27.018+08:00,-258.570,0.000,-31.850,94.100,0.000,27643.529,50.147,0.000
SNTD_EMS,2026-06-21T16:01:28.018+08:00,-258.570,0.000,-31.850,94.100,0.000,27643.529,50.148,0.000
SNTD_EMS,2026-06-21T16:01:29.018+08:00,-258.570,0.000,-31.850,94.100,0.000,27652.357,50.150,0.000
SNTD_EMS,2026-06-21T16:01:30.018+08:00,-258.570,0.000,-31.850,94.100,0.000,27652.357,50.152,0.000
